CDLI,Museum siglum,no.,Dillard pp.,CuReD text ID,CuReD translit ID,status,contents,sub-type,date,king,year,type,archive,city,scribe,scribe norm,scribe fam,scribe title,bibliography,text_name
https://cdli.ucla.edu/P460025,FLP ,1517,21-22,7918387,7090734395,done,Promissory note for reeds of the Ebabbar temple,Promissory note,Ssi020220,Ssi,2,Archival,Uncertain,Sippar,{m}{d}AG-mu-tir-gi-mil-lu/{m}{d}ŠEŠ.KI-ù-tu,Nabû-mutīr-gimilli//Nannûtu,Nannûtu,DUB.SAR,"Gross 2017, nabucco",FLP 1517
https://cdli.ucla.edu/P460026,FLP ,1518,23-28,3572001,1405216466,done,Real estate sale: house in Babylon,Purchase,Npl060412,Npl,6,Archival,Maštuk,Babylon,{m}{d}EN-PAB/{lú}GAL-DÙ,Bēl-nāṣir//Rab-bānê,Rab-bānê,UMBISAG,,FLP 1518
https://cdli.ucla.edu/P460027,FLP ,1519,29-31,7445307,9916942996,done,Record of the disposition of cattle and barley,Livestock,Npl090617,Npl,9,Admin,Eanna,n.a.,none,none,none,none,,FLP 1519
https://cdli.ucla.edu/P460028,FLP ,1520,32-34,1288048,3847536468,done,Garments for the gods,Cult,Npl170828,Npl,17,Admin,Eanna,n.a.,none,none,none,none,,FLP 1520
https://cdli.ucla.edu/P460030,FLP ,1522,35-36,1204568,9919958887,done,Loan of silver,Loan,Nbk070523,Nbk,7,Archival,Uncertain,Uruk,{m}{d}AG-KAR-ZI.MEŠ/{m}{d}AG-MU-GAR-un,Nabû-ēṭir-napšāti/Nabû-šum-iškun,n.a.,UMBISAG,,FLP 1522
https://cdli.ucla.edu/P460032,FLP ,1524,37-40,9612934,5944752841,done,Litigation over real estate (duplicate of FLP 1523),Litigation,Nbk070610,Nbk,7,Archival,Uncertain,Burāti,{m}{d}AG-MU-GIN/{lú}GAL-DÙ,Nabû-šum-ukīn//Rab-bānê,Rab-bānê,UMBISAG,,FLP 1524
https://cdli.ucla.edu/P460034,FLP ,1526,41,2027252,7234476342,done,Receipt for delivery of cattle,Receipt,Nbk110718,Nbk,11,Admin,Eanna,n.a.,none,none,none,none,,FLP 1526
https://cdli.ucla.edu/P460035,FLP ,1527,42-44,4331832,1139535995,done,Record of the testimony of witnesses,Record of testimony,Nbk120000,Nbk,12,Archival,Uncertain,Uruk,Missing,Missing,Missing,Missing,,FLP 1527
https://cdli.ucla.edu/P460036,FLP ,1528,45-47,7429001,7859887227,done,Promissory note of small cattle,Promissory note,Nbk140400?,Nbk,14,Archival,Eanna,Uruk,{m}LÚ-{d}AG/{m}{d}AG-xxx,Amīl-Nabû/Nabû-[…],n.a.,UMBISAG,,FLP 1528
https://cdli.ucla.edu/P460037,FLP ,1529,48,7420399,2622982004,done,Disposition of the corpse of a cow,Livestock,Nbk140626,Nbk,14,Admin,Eanna,n.a.,none,none,none,none,,FLP 1529
https://cdli.ucla.edu/P460038,FLP ,1530,49-51,7146766,6182887898,done,Litigation over cattle,Litigation,Nbk150305?,Nbk,15,Archival,Eanna,Uruk,{m}{d}INNIN-na-NUMUN-GÁL-ši/{m}TIN-su,Ištar-zēr-ušebši/Balāssu,(Damequ),UMBISAG,,FLP 1530
https://cdli.ucla.edu/P460039,FLP ,1531,52-54,2428192,3640076521,done,Contract for delivery of bricks,Contract,Nbk160613,Nbk,16,Archival,Eanna,Babylon,{d}AG-KAR-ZI.MEŠ/{m}{d}EN-A-URÙ,Nabû-ēṭir-napšāti//Bēl-apla-uṣur,Bēl-apla-uṣur,UMBISAG,,FLP 1531
https://cdli.ucla.edu/P460040,FLP ,1532,55-56,3030484,9903793835,done,Loan of barley,Loan,Nbk161227,Nbk,16,Archival,Uruk?,Babylon,{m}ÌR-{d}IN.NIN-ni/{m}{d}AG-ŠEŠ-MU,Arad-Ištar/Nabû-aḫa-iddin,n.a.,DUB.SAR,,FLP 1532
https://cdli.ucla.edu/P460041,FLP ,1533,57-63,7653786,8794512691,done,Real estate sale,Purchase,Nbk151213,Nbk,15,Archival,Nūr-Sîn,Babylon,{m}É-an-na-li-i-pi-URÙ/{m}Ri-mut/{m}{d}30-TI-ÉR,Eanna-līpī-uṣur/Rēmūtu//Sîn-leqe-unninnī,Sin-lēq-unninnī,UMBISAG,,FLP 1533
https://cdli.ucla.edu/P460042,FLP ,1534,64-65,8961749,3243453835,done,"Delivery of ducks",Birds,Nbk200607,Nbk,20,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1534
https://cdli.ucla.edu/P460044,FLP ,1536,66-68,8983493,8619674197,done,Contract for delivery of bricks,Contract,Nbk210317,Nbk,21,Archival,Eanna,Uruk,{m}{d}IDIM-DÙ-NUMUN/{m}Tab-né-e-a/{lú}ŠU.ḪA,Ea-bān-zēri/Tabnēa//Bāʾiru,Bāʾiru,UMBISAG,,FLP 1536
https://cdli.ucla.edu/P460045,FLP ,1537,69-70,6350842,5991791211,done,Wages paid corvee laborers,Wages,Nbk221010,Nbk,22,Admin,Eanna,n.a.,none,none,none,none,,FLP 1537
https://cdli.ucla.edu/P460046,FLP ,1538,71-72,1016178,9359189396,done,Receipt of baked goods for festival,Receipt,Nbk230501,Nbk,23,Admin,Eanna,n.a.,none,none,none,none,,FLP 1538
https://cdli.ucla.edu/P460047,FLP ,1539,73-74,2449131,1110252718,done,Travel provisions,Wages,Nbk231011,Nbk,23,Admin,Eanna,n.a.,none,none,none,none,"Jankovic, Travel provisions",FLP 1539
https://cdli.ucla.edu/P460048,FLP ,1540,75-76,3674538,7472706780,done,Disposition of various amounts of barley,Agriculture,Nbk250711,Nbk,25,Admin,Eanna,n.a.,none,none,none,none,,FLP 1540
https://cdli.ucla.edu/P460049,FLP ,1541,77-79,1095566,9925264405,done,Sale of a slave,Purchase,Nbk270716,Nbk,27,Archival,Uncertain,Uruk,{m}{d}IN.NIN-NUMUN-GÁL-ši/{m}TIN-su,Ištar-zēr-ušebši/Balāssu,(Damequ),UMBISAG,,FLP 1541
https://cdli.ucla.edu/P460053,FLP ,1545,80-82,9048239,986015290,done,Transfer of a debt,Transfer,Nbk340205+,Nbk,34,Archival,Eanna,Uruk,{m}MU-{d}AG/{m}GAR-MU/{m}ŠU-{d}Na-na-a,Iddin-Nabû/Šākin-šumi//Gimil-Nanāya,Gimil-Nanāya,UMBISAG,,FLP 1545
https://cdli.ucla.edu/P460054,FLP ,1546,83-85,8338059,7761162863,done,Loan of barley,Loan,Nbk341225,Nbk,34,Archival,Eanna,Uruk,{m}{d}UTU-MU-MU/{m}{d}AG-TIN-su-E/{m}{d}30-TI-ÉR,Šamaš-šum-iddin/Nabû-balāssu-iqbi//Sîn-leqe-unninī,Sin-lēq-unninnī,UMBISAG,,FLP 1546
https://cdli.ucla.edu/P460055,FLP ,1547,86-87,1505008,7312500048,done,Loan of silver,Loan,Nbk370222,Nbk,37,Archival,Eanna,Uruk,{m}MU-{d}AG/{m}GAR-MU/{m}ŠU-{d}Na-na-a,Iddin-Nabû/Šākin-šumi//Gimil-Nanāya,Gimil-Nanāya,UMBISAG,,FLP 1547
