Number,Done,Text ID,Transliteration ID,,,First round,Second round
A000001,1,9357548,3615766238,,,,
A000061,1,9357548,4989489551,,,,
A000106,1,5640174,9869842759,,,,
A000149,1,9357548,3599820044,,,,
A000234,1,9357548,1178318240,,,,
A000249,1,9357548,9821561637,,,,
A000277,1,9357548,792578251,,,,
A000407,1,9357548,1506514520,,,,
A000435,1,5371563,9987785224,,,,
A000490,1,9357548,8397366227,,,,
A000520,1,9357548,1892281813,,,,
A000535,1,9357548,2790324445,,,,
A000578,1,9357548,1451715339,,,,
A000691,1,9357548,127572857,,,,
A000708,1,2690281,1987396098,,,,
A000821,1,9357548,5713708848,,,,
A000836,1,9357548,4045565653,,,,
A000879,1,9357548,8474103082,,,,
A000992,1,9357548,8773569516,,,,
A001029,1,3756245,734560653,,,,
A001041,1,9357548,1703571406,,,,
K001538,1,9357548,4025211903,,30,,
K001539,1,9357548,486698371,,29,,
K001540,1,9357548,2787848113,,28,,
K001541,1,9357548,2659267395,,27,,
K001542,1,9357548,1675219164,,26,,
K001543,1,9357548,328085617,,25,,
K001544,1,9357548,9437785523,,24,,
K001545,1,9357548,4937927190,,23,,
K001546,1,9357548,3169824057,,22,,
K001549,1,9357548,679787101,,21,,
TN000018,1,9357548,2389804570,,9,,
TN000019,1,9357548,5160215778,,8,,
TN000020,1,9357548,7284647967,,7,,
TN000021,1,9357548,6401142447,,6,,
TN000022,1,9357548,598386706,,5,,
TN000023,1,9357548,4339303488,,4,,
TN000024,1,9357548,9299477160,,10,,
TN000025,1,9357548,5467422456,,3,,
TN000026,1,9357548,5192145507,,2,,
TN000028,1,9357548,7412684811,,11,,
TN000029,1,9357548,2304228625,,12,,
TN000030,1,9357548,5898720614,,13,,
TN000031,1,9357548,9863359359,,14,,
TN000032,1,9357548,8680164348,,15,,
TN000033,1,9357548,8892307908,,16,,
TN000034,1,9357548,5494748715,,17,,
TN000035,1,9357548,1868008623,,18,,
TN000036,1,9357548,4471823082,,19,,
TN000037,1,9357548,7193803481,,20,,
TN000043,1,9357548,1428689554,,1,,
A000002,,,,,,,
A000003,,,,,,,
A000004,,,,,,,
A000005,,,,,,,
A000006,,,,,,,
A000007,,,,,,,
A000008,,,,,,,
A000009,,,,,,,
A000010,,,,,,,
A000011,,,,,,,
A000012,,,,,,,
A000013,,,,,,,
A000014,,,,,,,
A000015,,,,,,,
A000016,,,,,,,
A000017,,,,,,,
A000018,,,,,,,
A000019,,,,,,,
A000020,,,,,,,
A000021,,,,,,,
A000022,,,,,,,
A000023,,,,,,,
A000024,,,,,,,
A000025,,,,,,,
A000026,,,,,,,
A000027,,,,,,,
A000028,,,,,,,
A000029,,,,,,,
A000030,,,,,,,
A000031,,,,,,,
A000032,,,,,,,
A000033,,,,,,,
A000034,,,,,,,
A000035,,,,,,,
A000036,,,,,,,
A000037,,,,,,,
A000038,,,,,,,
A000039,,,,,,,
A000040,,,,,,,
A000041,,,,,,,
A000042,,,,,,,
A000043,,,,,,,
A000044,,,,,,,
A000045,,,,,,,
A000046,,,,,,,
A000047,,,,,,,
A000048,,,,,,,
A000049,,,,,,,
A000050,,,,,,,
A000051,,,,,,,
A000052,,,,,,,
A000053,,,,,,,
A000054,,,,,,,
A000055,,,,,,,
A000056,,,,,,,
A000057,,,,,,,
A000058,,,,,,,
A000059,,,,,,,
A000060,,,,,,,
A000062,,,,,,,
A000063,,,,,,,
A000064,,,,,,,
A000065,,,,,,,
A000066,,,,,,,
A000067,,,,,,,
A000068,,,,,,,
A000069,,,,,,,
A000070,,,,,,,
A000071,,,,,,,
A000072,,,,,,,
A000073,,,,,,,
A000074,,,,,,,
A000075,,,,,,,
A000076,,,,,,,
A000077,,,,,,,
A000078,,,,,,,
A000079,,,,,,,
A000080,,,,,,,
A000081,,,,,,,
A000082,,,,,,,
A000083,,,,,,,
A000084,,,,,,,
A000085,,,,,,,
A000086,,,,,,,
A000087,,,,,,,
A000088,,,,,,,
A000089,,,,,,,
A000090,,,,,,,
A000091,,,,,,,
A000092,,,,,,,
A000093,,,,,,,
A000094,,,,,,,
A000095,,,,,,,
A000096,,,,,,,
A000097,,,,,,,
A000098,,,,,,,
A000099,,,,,,,
A000100,,,,,,,
A000101,,,,,,,
A000102,,,,,,,
A000103,,,,,,,
A000104,,,,,,,
A000105,,,,,,,
A000107,,,,,,,
A000108,,,,,,,
A000109,,,,,,,
A000110,,,,,,,
A000111,,,,,,,
A000112,,,,,,,
A000113,,,,,,,
A000114,,,,,,,
A000115,,,,,,,
A000116,,,,,,,
A000117,,,,,,,
A000118,,,,,,,
A000119,,,,,,,
A000120,,,,,,,
A000121,,,,,,,
A000122,,,,,,,
A000123,,,,,,,
A000124,,,,,,,
A000125,,,,,,,
A000126,,,,,,,
A000127,,,,,,,
A000128,,,,,,,
A000129,,,,,,,
A000130,,,,,,,
A000131,,,,,,,
A000132,,,,,,,
A000133,,,,,,,
A000134,,,,,,,
A000135,,,,,,,
A000136,,,,,,,
A000137,,,,,,,
A000138,,,,,,,
A000139,,,,,,,
A000140,,,,,,,
A000141,,,,,,,
A000142,,,,,,,
A000143,,,,,,,
A000144,,,,,,,
A000145,,,,,,,
A000146,,,,,,,
A000147,,,,,,,
A000148,,,,,,,
A000150,,,,,,,
A000151,,,,,,,
A000152,,,,,,,
A000153,,,,,,,
A000154,,,,,,,
A000155,,,,,,,
A000156,,,,,,,
A000157,,,,,,,
A000158,,,,,,,
A000159,,,,,,,
A000160,,,,,,,
A000161,,,,,,,
A000162,,,,,,,
A000163,,,,,,,
A000164,,,,,,,
A000165,,,,,,,
A000166,,,,,,,
A000167,,,,,,,
A000168,,,,,,,
A000169,,,,,,,
A000170,,,,,,,
A000171,,,,,,,
A000172,,,,,,,
A000173,,,,,,,
A000174,,,,,,,
A000175,,,,,,,
A000176,,,,,,,
A000177,,,,,,,
A000178,,,,,,,
A000179,,,,,,,
A000180,,,,,,,
A000181,,,,,,,
A000182,,,,,,,
A000183,,,,,,,
A000184,,,,,,,
A000185,,,,,,,
A000186,,,,,,,
A000187,,,,,,,
A000188,,,,,,,
A000189,,,,,,,
A000190,,,,,,,
A000191,,,,,,,
A000192,,,,,,,
A000193,,,,,,,
A000194,,,,,,,
A000195,,,,,,,
A000196,,,,,,,
A000197,,,,,,,
A000198,,,,,,,
A000199,,,,,,,
A000200,,,,,,,
A000201,,,,,,,
A000202,,,,,,,
A000203,,,,,,,
A000204,,,,,,,
A000205,,,,,,,
A000206,,,,,,,
A000207,,,,,,,
A000208,,,,,,,
A000209,,,,,,,
A000210,,,,,,,
A000211,,,,,,,
A000212,,,,,,,
A000213,,,,,,,
A000214,,,,,,,
A000215,,,,,,,
A000216,,,,,,,
A000217,,,,,,,
A000218,,,,,,,
A000219,,,,,,,
A000220,,,,,,,
A000221,,,,,,,
A000222,,,,,,,
A000223,,,,,,,
A000224,,,,,,,
A000225,,,,,,,
A000226,,,,,,,
A000227,,,,,,,
A000228,,,,,,,
A000229,,,,,,,
A000230,,,,,,,
A000231,,,,,,,
A000232,,,,,,,
A000233,,,,,,,
A000235,,,,,,,
A000236,,,,,,,
A000237,,,,,,,
A000238,,,,,,,
A000239,,,,,,,
A000240,,,,,,,
A000241,,,,,,,
A000242,,,,,,,
A000243,,,,,,,
A000244,,,,,,,
A000245,,,,,,,
A000246,,,,,,,
A000247,,,,,,,
A000248,,,,,,,
A000250,,,,,,,
A000251,,,,,,,
A000252,,,,,,,
A000253,,,,,,,
A000254,,,,,,,
A000255,,,,,,,
A000256,,,,,,,
A000257,,,,,,,
A000258,,,,,,,
A000259,,,,,,,
A000260,,,,,,,
A000261,,,,,,,
A000262,,,,,,,
A000263,,,,,,,
A000264,,,,,,,
A000265,,,,,,,
A000266,,,,,,,
A000267,,,,,,,
A000268,,,,,,,
A000269,,,,,,,
A000270,,,,,,,
A000271,,,,,,,
A000272,,,,,,,
A000273,,,,,,,
A000274,,,,,,,
A000275,,,,,,,
A000276,,,,,,,
A000278,,,,,,,
A000279,,,,,,,
A000280,,,,,,,
A000281,,,,,,,
A000282,,,,,,,
A000283,,,,,,,
A000284,,,,,,,
A000285,,,,,,,
A000286,,,,,,,
A000287,,,,,,,
A000288,,,,,,,
A000289,,,,,,,
A000290,,,,,,,
A000291,,,,,,,
A000292,,,,,,,
A000293,,,,,,,
A000294,,,,,,,
A000295,,,,,,,
A000296,,,,,,,
A000297,,,,,,,
A000298,,,,,,,
A000299,,,,,,,
A000300,,,,,,,
A000301,,,,,,,
A000302,,,,,,,
A000303,,,,,,,
A000304,,,,,,,
A000305,,,,,,,
A000306,,,,,,,
A000307,,,,,,,
A000308,,,,,,,
A000309,,,,,,,
A000310,,,,,,,
A000311,,,,,,,
A000312,,,,,,,
A000313,,,,,,,
A000314,,,,,,,
A000315,,,,,,,
A000316,,,,,,,
A000317,,,,,,,
A000318,,,,,,,
A000319,,,,,,,
A000320,,,,,,,
A000321,,,,,,,
A000322,,,,,,,
A000323,,,,,,,
A000324,,,,,,,
A000325,,,,,,,
A000326,,,,,,,
A000327,,,,,,,
A000328,,,,,,,
A000329,,,,,,,
A000330,,,,,,,
A000331,,,,,,,
A000332,,,,,,,
A000333,,,,,,,
A000334,,,,,,,
A000335,,,,,,,
A000336,,,,,,,
A000337,,,,,,,
A000338,,,,,,,
A000339,,,,,,,
A000340,,,,,,,
A000341,,,,,,,
A000342,,,,,,,
A000343,,,,,,,
A000344,,,,,,,
A000345,,,,,,,
A000346,,,,,,,
A000347,,,,,,,
A000348,,,,,,,
A000349,,,,,,,
A000350,,,,,,,
A000351,,,,,,,
A000352,,,,,,,
A000353,,,,,,,
A000354,,,,,,,
A000355,,,,,,,
A000356,,,,,,,
A000357,,,,,,,
A000358,,,,,,,
A000359,,,,,,,
A000360,,,,,,,
A000361,,,,,,,
A000362,,,,,,,
A000363,,,,,,,
A000364,,,,,,,
A000365,,,,,,,
A000366,,,,,,,
A000367,,,,,,,
A000368,,,,,,,
A000369,,,,,,,
A000370,,,,,,,
A000371,,,,,,,
A000372,,,,,,,
A000373,,,,,,,
A000374,,,,,,,
A000375,,,,,,,
A000376,,,,,,,
A000377,,,,,,,
A000378,,,,,,,
A000379,,,,,,,
A000380,,,,,,,
A000381,,,,,,,
A000382,,,,,,,
A000383,,,,,,,
A000384,,,,,,,
A000385,,,,,,,
A000386,,,,,,,
A000387,,,,,,,
A000388,,,,,,,
A000389,,,,,,,
A000390,,,,,,,
A000391,,,,,,,
A000392,,,,,,,
A000393,,,,,,,
A000394,,,,,,,
A000395,,,,,,,
A000396,,,,,,,
A000397,,,,,,,
A000398,,,,,,,
A000399,,,,,,,
A000400,,,,,,,
A000401,,,,,,,
A000402,,,,,,,
A000403,,,,,,,
A000404,,,,,,,
A000405,,,,,,,
A000406,,,,,,,
A000408,,,,,,,
A000409,,,,,,,
A000410,,,,,,,
A000411,,,,,,,
A000412,,,,,,,
A000413,,,,,,,
A000414,,,,,,,
A000415,,,,,,,
A000416,,,,,,,
A000417,,,,,,,
A000418,,,,,,,
A000419,,,,,,,
A000420,,,,,,,
A000421,,,,,,,
A000422,,,,,,,
A000423,,,,,,,
A000424,,,,,,,
A000425,,,,,,,
A000426,,,,,,,
A000427,,,,,,,
A000428,,,,,,,
A000429,,,,,,,
A000430,,,,,,,
A000431,,,,,,,
A000432,,,,,,,
A000433,,,,,,,
A000434,,,,,,,
A000436,,,,,,,
A000437,,,,,,,
A000438,,,,,,,
A000439,,,,,,,
A000440,,,,,,,
A000441,,,,,,,
A000442,,,,,,,
A000443,,,,,,,
A000444,,,,,,,
A000445,,,,,,,
A000446,,,,,,,
A000447,,,,,,,
A000448,,,,,,,
A000449,,,,,,,
A000450,,,,,,,
A000451,,,,,,,
A000452,,,,,,,
A000453,,,,,,,
A000454,,,,,,,
A000455,,,,,,,
A000456,,,,,,,
A000457,,,,,,,
A000458,,,,,,,
A000459,,,,,,,
A000460,,,,,,,
A000461,,,,,,,
A000462,,,,,,,
A000463,,,,,,,
A000464,,,,,,,
A000465,,,,,,,
A000466,,,,,,,
A000467,,,,,,,
A000468,,,,,,,
A000469,,,,,,,
A000470,,,,,,,
A000471,,,,,,,
A000472,,,,,,,
A000473,,,,,,,
A000474,,,,,,,
A000475,,,,,,,
A000476,,,,,,,
A000477,,,,,,,
A000478,,,,,,,
A000479,,,,,,,
A000480,,,,,,,
A000481,,,,,,,
A000482,,,,,,,
A000483,,,,,,,
A000484,,,,,,,
A000485,,,,,,,
A000486,,,,,,,
A000487,,,,,,,
A000488,,,,,,,
A000489,,,,,,,
A000491,,,,,,,
A000492,,,,,,,
A000493,,,,,,,
A000494,,,,,,,
A000495,,,,,,,
A000496,,,,,,,
A000497,,,,,,,
A000498,,,,,,,
A000499,,,,,,,
A000500,,,,,,,
A000501,,,,,,,
A000502,,,,,,,
A000503,,,,,,,
A000504,,,,,,,
A000505,,,,,,,
A000506,,,,,,,
A000507,,,,,,,
A000508,,,,,,,
A000509,,,,,,,
A000510,,,,,,,
A000511,,,,,,,
A000512,,,,,,,
A000513,,,,,,,
A000514,,,,,,,
A000515,,,,,,,
A000516,,,,,,,
A000517,,,,,,,
A000518,,,,,,,
A000519,,,,,,,
A000521,,,,,,,
A000522,,,,,,,
A000523,,,,,,,
A000524,,,,,,,
A000525,,,,,,,
A000526,,,,,,,
A000527,,,,,,,
A000528,,,,,,,
A000529,,,,,,,
A000530,,,,,,,
A000531,,,,,,,
A000532,,,,,,,
A000533,,,,,,,
A000534,,,,,,,
A000536,,,,,,,
A000537,,,,,,,
A000538,,,,,,,
A000539,,,,,,,
A000540,,,,,,,
A000541,,,,,,,
A000542,,,,,,,
A000543,,,,,,,
A000544,,,,,,,
A000545,,,,,,,
A000546,,,,,,,
A000547,,,,,,,
A000548,,,,,,,
A000549,,,,,,,
A000550,,,,,,,
A000551,,,,,,,
A000552,,,,,,,
A000553,,,,,,,
A000554,,,,,,,
A000555,,,,,,,
A000556,,,,,,,
A000557,,,,,,,
A000558,,,,,,,
A000559,,,,,,,
A000560,,,,,,,
A000561,,,,,,,
A000562,,,,,,,
A000563,,,,,,,
A000564,,,,,,,
A000565,,,,,,,
A000566,,,,,,,
A000567,,,,,,,
A000568,,,,,,,
A000569,,,,,,,
A000570,,,,,,,
A000571,,,,,,,
A000572,,,,,,,
A000573,,,,,,,
A000574,,,,,,,
A000575,,,,,,,
A000576,,,,,,,
A000577,,,,,,,
A000579,,,,,,,
A000580,,,,,,,
A000581,,,,,,,
A000582,,,,,,,
A000583,,,,,,,
A000584,,,,,,,
A000585,,,,,,,
A000586,,,,,,,
A000587,,,,,,,
A000588,,,,,,,
A000589,,,,,,,
A000590,,,,,,,
A000591,,,,,,,
A000592,,,,,,,
A000593,,,,,,,
A000594,,,,,,,
A000595,,,,,,,
A000596,,,,,,,
A000597,,,,,,,
A000598,,,,,,,
A000599,,,,,,,
A000600,,,,,,,
A000601,,,,,,,
A000602,,,,,,,
A000603,,,,,,,
A000604,,,,,,,
A000605,,,,,,,
A000606,,,,,,,
A000607,,,,,,,
A000608,,,,,,,
A000609,,,,,,,
A000610,,,,,,,
A000611,,,,,,,
A000612,,,,,,,
A000613,,,,,,,
A000614,,,,,,,
A000615,,,,,,,
A000616,,,,,,,
A000617,,,,,,,
A000618,,,,,,,
A000619,,,,,,,
A000620,,,,,,,
A000621,,,,,,,
A000622,,,,,,,
A000623,,,,,,,
A000624,,,,,,,
A000625,,,,,,,
A000626,,,,,,,
A000627,,,,,,,
A000628,,,,,,,
A000629,,,,,,,
A000630,,,,,,,
A000631,,,,,,,
A000632,,,,,,,
A000633,,,,,,,
A000634,,,,,,,
A000635,,,,,,,
A000636,,,,,,,
A000637,,,,,,,
A000638,,,,,,,
A000639,,,,,,,
A000640,,,,,,,
A000641,,,,,,,
A000642,,,,,,,
A000643,,,,,,,
A000644,,,,,,,
A000645,,,,,,,
A000646,,,,,,,
A000647,,,,,,,
A000648,,,,,,,
A000649,,,,,,,
A000650,,,,,,,
A000651,,,,,,,
A000652,,,,,,,
A000653,,,,,,,
A000654,,,,,,,
A000655,,,,,,,
A000656,,,,,,,
A000657,,,,,,,
A000658,,,,,,,
A000659,,,,,,,
A000660,,,,,,,
A000661,,,,,,,
A000662,,,,,,,
A000663,,,,,,,
A000664,,,,,,,
A000665,,,,,,,
A000666,,,,,,,
A000667,,,,,,,
A000668,,,,,,,
A000669,,,,,,,
A000670,,,,,,,
A000671,,,,,,,
A000672,,,,,,,
A000673,,,,,,,
A000674,,,,,,,
A000675,,,,,,,
A000676,,,,,,,
A000677,,,,,,,
A000678,,,,,,,
A000679,,,,,,,
A000680,,,,,,,
A000681,,,,,,,
A000682,,,,,,,
A000683,,,,,,,
A000684,,,,,,,
A000685,,,,,,,
A000686,,,,,,,
A000687,,,,,,,
A000688,,,,,,,
A000689,,,,,,,
A000690,,,,,,,
A000692,,,,,,,
A000693,,,,,,,
A000694,,,,,,,
A000695,,,,,,,
A000696,,,,,,,
A000697,,,,,,,
A000698,,,,,,,
A000699,,,,,,,
A000700,,,,,,,
A000701,,,,,,,
A000702,,,,,,,
A000703,,,,,,,
A000704,,,,,,,
A000705,,,,,,,
A000706,,,,,,,
A000707,,,,,,,
A000709,,,,,,,
A000710,,,,,,,
A000711,,,,,,,
A000712,,,,,,,
A000713,,,,,,,
A000714,,,,,,,
A000715,,,,,,,
A000716,,,,,,,
A000717,,,,,,,
A000718,,,,,,,
A000719,,,,,,,
A000720,,,,,,,
A000721,,,,,,,
A000722,,,,,,,
A000723,,,,,,,
A000724,,,,,,,
A000725,,,,,,,
A000726,,,,,,,
A000727,,,,,,,
A000728,,,,,,,
A000729,,,,,,,
A000730,,,,,,,
A000731,,,,,,,
A000732,,,,,,,
A000733,,,,,,,
A000734,,,,,,,
A000735,,,,,,,
A000736,,,,,,,
A000737,,,,,,,
A000738,,,,,,,
A000739,,,,,,,
A000740,,,,,,,
A000741,,,,,,,
A000742,,,,,,,
A000743,,,,,,,
A000744,,,,,,,
A000745,,,,,,,
A000746,,,,,,,
A000747,,,,,,,
A000748,,,,,,,
A000749,,,,,,,
A000750,,,,,,,
A000751,,,,,,,
A000752,,,,,,,
A000753,,,,,,,
A000754,,,,,,,
A000755,,,,,,,
A000756,,,,,,,
A000757,,,,,,,
A000758,,,,,,,
A000759,,,,,,,
A000760,,,,,,,
A000761,,,,,,,
A000762,,,,,,,
A000763,,,,,,,
A000764,,,,,,,
A000765,,,,,,,
A000766,,,,,,,
A000767,,,,,,,
A000768,,,,,,,
A000769,,,,,,,
A000770,,,,,,,
A000771,,,,,,,
A000772,,,,,,,
A000773,,,,,,,
A000774,,,,,,,
A000775,,,,,,,
A000776,,,,,,,
A000777,,,,,,,
A000778,,,,,,,
A000779,,,,,,,
A000780,,,,,,,
A000781,,,,,,,
A000782,,,,,,,
A000783,,,,,,,
A000784,,,,,,,
A000785,,,,,,,
A000786,,,,,,,
A000787,,,,,,,
A000788,,,,,,,
A000789,,,,,,,
A000790,,,,,,,
A000791,,,,,,,
A000792,,,,,,,
A000793,,,,,,,
A000794,,,,,,,
A000795,,,,,,,
A000796,,,,,,,
A000797,,,,,,,
A000798,,,,,,,
A000799,,,,,,,
A000800,,,,,,,
A000801,,,,,,,
A000802,,,,,,,
A000803,,,,,,,
A000804,,,,,,,
A000805,,,,,,,
A000806,,,,,,,
A000807,,,,,,,
A000808,,,,,,,
A000809,,,,,,,
A000810,,,,,,,
A000811,,,,,,,
A000812,,,,,,,
A000813,,,,,,,
A000814,,,,,,,
A000815,,,,,,,
A000816,,,,,,,
A000817,,,,,,,
A000818,,,,,,,
A000819,,,,,,,
A000820,,,,,,,
A000822,,,,,,,
A000823,,,,,,,
A000824,,,,,,,
A000825,,,,,,,
A000826,,,,,,,
A000827,,,,,,,
A000828,,,,,,,
A000829,,,,,,,
A000830,,,,,,,
A000831,,,,,,,
A000832,,,,,,,
A000833,,,,,,,
A000834,,,,,,,
A000835,,,,,,,
A000837,,,,,,,
A000838,,,,,,,
